year,Country_no,Country,GDP_G,INF,UNEMP,TRADE,POPTOL,GDP_CAPG,CPI_S,CPI_R,INC1,INC50
1995,1,japan,2.630999616,-0.127899045,3.200000048,16.39010493,125472000,2.390519558,67.2,20,0.1041,0.0497
1996,1,japan,3.133870993,0.136600359,3.400000095,18.25386823,125757000,2.900141234,70.5,17,0.1107,0.0495
1997,1,japan,0.981228732,1.747804587,3.400000095,19.78351762,126057000,0.740905953,65.7,21,0.1048,0.0495
1998,1,japan,-1.270330495,0.661974191,4.099999905,19.00318622,126400000,-1.538244076,58,25,0.1037,0.0494
1999,1,japan,-0.333929958,-0.341296928,4.699999809,18.12563072,126631000,-0.51574059,60,25,0.1063,0.0493
2000,1,japan,2.764647551,-0.676578684,4.75,19.56237158,126843000,2.592891087,64,23,0.113,0.049
2001,1,japan,0.386103426,-0.740055504,5.019999981,19.55960447,127149000,0.14451169,71,21,0.1155,0.0487
2002,1,japan,0.041962499,-0.923494027,5.389999866,20.44712207,127445000,-0.190392014,71,20,0.1184,0.0483
2003,1,japan,1.535125499,-0.256541816,5.25,21.32612527,127718000,1.318091962,70,21,0.1231,0.0479
2004,1,japan,2.186115694,-0.008573388,4.730000019,23.66435342,127761000,2.151723329,69,24,0.1311,0.0475
2005,1,japan,1.803900872,-0.282946069,4.449999809,26.22995458,127773000,1.794339801,73,21,0.1355,0.0474
2006,1,japan,1.372350128,0.249355116,4.190000057,30.0163761,127854000,1.308127183,76,17,0.1371,0.0473
2007,1,japan,1.483969412,0.060039454,3.890000105,32.81657805,128001000,1.367422326,75,17,0.1374,0.0472
2008,1,japan,-1.224289001,1.380078862,4,34.12947654,128063000,-1.272109949,73,18,0.1299,0.0475
2009,1,japan,-5.693236359,-1.35283673,5.070000172,24.39016653,128047000,-5.68145234,77,17,0.1227,0.048
2010,1,japan,4.097917919,-0.728243208,5.099999905,28.49847269,128070000,4.079223048,78,17,0.1283,0.0478
2011,1,japan,0.023809524,-0.272455616,4.550000191,30.19496073,127833000,0.209251803,80,14,0.1265,0.0478
2012,1,japan,1.374750999,-0.04406451,4.360000134,30.47091092,127629000,1.536786659,74,17,0.1272,0.0478
2013,1,japan,2.005100177,0.335037912,4,33.97876865,127445000,2.152371066,74,18,0.1289,0.0477
2014,1,japan,0.296205514,2.759226714,3.599999905,37.43143457,127276000,0.429381123,76,15,0.1286,0.0478
2015,1,japan,1.560626697,0.795279631,3.400000095,35.42740835,127141000,1.668465117,75,18,0.1296,0.0477
2016,1,japan,0.753826746,-0.127258844,3.099999905,31.31024685,127076000,0.805362825,72,20,0.129,0.0477
2017,1,japan,1.675331752,0.484199796,2.799999952,34.42321357,126972000,1.758611802,73,20,0.1286,0.0478
2018,1,japan,0.584068067,0.989094598,2.400000095,36.63206385,126811000,0.711770198,73,18,0.1286,0.0478
2019,1,japan,-0.240350841,0.468776159,2.400000095,35.1798202,126633000,-0.100125011,73,20,0.1286,0.0477
